name_hotel,url_hotel,adress_hotel,price_hotel,position_by_city_hotel,city_hotel,country_hotel,localisation_hotel,global_rate_hotel,category_hotel,style_hotel,equipments_hotel
Marina d'Oru,https://www.tripadvisor.fr/Hotel_Review-g1067718-d2043031-Reviews-Marina_D_Oru-Ghisonaccia_Haute_Corse_Corsica.html,"route de la mer Lieu Dit Bruscheto, 20240 Ghisonaccia, Corse France",,1 sur 3,Ghisonaccia  ,France  ,Europe||France||Corse||Haute-Corse||Ghisonaccia,4.0,3.0,Complexe familial,Parking gratuit||Internet gratuit||Piscine||Bar/lounge||Plage||Court de tennis||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Wi-Fi||Wi-Fi payant||Piscine extérieure||Clôture entourant la piscine||Restaurant||Petit-déjeuner disponible||Piscine avec bar intégré||Bar côté piscine||Personnel en charge du divertissement||Clubs pour enfants||Équipements de jeux pour enfants en plein air||Climatisation||Service de ménage||Balcon privé||Kitchenette||Lave-vaisselle||Micro-ondes||Réfrigérateur||Vue sur l'océan||Suites||Chambres familiales||Chambres fumeurs disponibles||Parking gratuit||Internet gratuit||Piscine||Bar/lounge||Plage||Court de tennis||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Wi-Fi||Wi-Fi payant||Piscine extérieure||Clôture entourant la piscine||Restaurant||Petit-déjeuner disponible||Piscine avec bar intégré||Bar côté piscine||Personnel en charge du divertissement||Clubs pour enfants||Équipements de jeux pour enfants en plein air||Climatisation||Service de ménage||Balcon privé||Kitchenette||Lave-vaisselle||Micro-ondes||Réfrigérateur||Vue sur l'océan||Suites||Chambres familiales||Chambres fumeurs disponibles
Munger Moss Motel,https://www.tripadvisor.fr/Hotel_Review-g44586-d258952-Reviews-Munger_Moss_Motel-Lebanon_Missouri.html,"Lebanon, MO",110,2 sur 11,Lebanon  ,Missouri (MO)  ,États-Unis||Missouri(MO)||Lebanon,4.0,,,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Hôtel non-fumeurs
Supai Motel,https://www.tripadvisor.fr/Hotel_Review-g31353-d270125-Reviews-Supai_Motel-Seligman_Arizona.html,"134 W. Chino Avenue, Seligman, AZ 86337",119,3 sur 7,Seligman  ,Arizona (AZ)  ,États-Unis||Arizona(AZ)||Seligman,4.0,2.0,Au centre-ville,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Distributeur automatique||Hôtel non-fumeurs||Climatisation||Bureau||Service de ménage||Téléphone||Micro-ondes||Réfrigérateur||Télévision à écran plat||Produits de toilette gratuits||Service de réveil/réveil-matin||Chambres non-fumeurs||Climatisation||Bureau||Service de ménage||Téléphone||Micro-ondes||Réfrigérateur||Télévision à écran plat||Produits de toilette gratuits||Service de réveil/réveil-matin||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Distributeur automatique||Hôtel non-fumeurs||Chambres non-fumeurs
Garden Court Hotel,https://www.tripadvisor.fr/Hotel_Review-g186338-d189287-Reviews-Garden_Court_Hotel-London_England.html,"30-31 Kensington Gardens Square, Londres W2 4BG Angleterre",184,567 sur 1 155,Londres  ,Royaume-Uni (UK)  ,Europe||Royaume-Uni(UK)||Angleterre||Londres,3.5,3.0,Calme||Quartier résidentiel,Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Buffet de petit-déjeuner||Stockage des bagages||Hôtel non-fumeurs||Réception 24 heures sur 24||Bureau||Coffre-fort||Téléphone||Coffre pour ordinateur portable||Cafetière/théière||Télévision à écran plat||Baignoire/douche||Produits de toilette gratuits||Service de réveil/réveil-matin||Sèche-cheveux||Chambres non-fumeurs||Bureau||Coffre-fort||Téléphone||Coffre pour ordinateur portable||Cafetière/théière||Télévision à écran plat||Baignoire/douche||Produits de toilette gratuits||Service de réveil/réveil-matin||Sèche-cheveux||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Buffet de petit-déjeuner||Stockage des bagages||Hôtel non-fumeurs||Réception 24 heures sur 24||Chambres non-fumeurs
Regency House Hotel,https://www.tripadvisor.fr/Hotel_Review-g186338-d528662-Reviews-Regency_House_Hotel-London_England.html,"71 Gower Street Bloomsbury, Londres WC1E 6HJ Angleterre",66,478 sur 1 155,Londres  ,Royaume-Uni (UK)  ,Europe||Royaume-Uni(UK)||Angleterre||Londres,4.0,3.0,Intermédiaire||Familial,Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Service de taxi||Stockage des bagages||Hôtel non-fumeurs||Réception 24 heures sur 24||Arrivée/départ express||Café soluble offert||Thé offert||Climatisation||Bureau||Service de ménage||Téléphone||Micro-ondes||Réfrigérateur||Télévision à écran plat||Baignoire/douche||Eau en bouteille||Service de réveil/réveil-matin||Ustensiles de cuisine||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Service de taxi||Stockage des bagages||Hôtel non-fumeurs||Réception 24 heures sur 24||Arrivée/départ express||Café soluble offert||Thé offert||Climatisation||Bureau||Service de ménage||Téléphone||Micro-ondes||Réfrigérateur||Télévision à écran plat||Baignoire/douche||Eau en bouteille||Service de réveil/réveil-matin||Ustensiles de cuisine||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs
Best Western Hotel Marseille Bourse Vieux Port by HappyCulture,https://www.tripadvisor.fr/Hotel_Review-g187253-d3224799-Reviews-Best_Western_Hotel_Marseille_Bourse_Vieux_Port_by_HappyCulture-Marseille_Bouches_du_Rh.html,"16, cours Belsunce, 13001 Marseille France",63,36 sur 140,Marseille  ,France  ,Europe||France||Provence-Alpes-Côte d'Azur||Bouches-du-Rhone||Marseille,4.0,3.0,Au centre-ville,Garage||Internet haut débit gratuit (Wi-Fi)||Café||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Stockage des bagages||Hôtel non-fumeurs||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Wi-Fi||Petit-déjeuner disponible||Buffet de petit-déjeuner||Salon commun/espace TV||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Chambres insonorisées||Climatisation||Bureau||Service de ménage||Coffre-fort||Cafetière/théière||Télévision à écran plat||Baignoire/douche||Téléphone||Chambres non-fumeurs||Chambres familiales||Garage||Internet haut débit gratuit (Wi-Fi)||Café||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Stockage des bagages||Hôtel non-fumeurs||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Wi-Fi||Petit-déjeuner disponible||Buffet de petit-déjeuner||Salon commun/espace TV||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Chambres insonorisées||Climatisation||Bureau||Service de ménage||Coffre-fort||Cafetière/théière||Télévision à écran plat||Baignoire/douche||Téléphone||Chambres non-fumeurs||Chambres familiales
La Grande Cordee,https://www.tripadvisor.fr/Hotel_Review-g635802-d1901691-Reviews-La_Grande_Cordee-Ax_les_Thermes_Ariege_Occitanie.html,"31 avenue Docteur Francois Gomma, 09110, Ax-les-Thermes France",,2 sur 9,Ax-les-Thermes  ,France  ,Europe||France||Occitanie||Ariege||Ax-les-Thermes,4.0,2.0,Vue sur la montagne||Classique,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Chaises hautes disponibles||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Hôtel non-fumeurs||Restaurant||Buffet de petit-déjeuner||Chambres insonorisées||Bureau||Coffre-fort||Penderie||Service de réveil/réveil-matin||Télévision à écran plat||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Chaises hautes disponibles||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Hôtel non-fumeurs||Restaurant||Buffet de petit-déjeuner||Chambres insonorisées||Bureau||Coffre-fort||Penderie||Service de réveil/réveil-matin||Télévision à écran plat||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs
Hotel La Tchadienne,https://www.tripadvisor.fr/Hotel_Review-g293779-d9726588-Reviews-Hotel_La_Tchadienne-N_Djamena.html,"Bp 109, N'Djamena Tchad",76 220,6 sur 9,N'Djamena  ,Tchad  ,Afrique||Tchad||N'Djamena,4.0,3.0,Intermédiaire||Affaires,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Petit-déjeuner inclus||Court de tennis||Ping-pong||Activités pour les enfants (Enfants/Pour les familles)||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Parking||Wi-Fi||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Navette aéroport||Service d'autobus||Location de voitures||Stockage des bagages||Concierge||Change des devises||Hôtel non-fumeurs||Distributeur de billets sur site||Réception 24 heures sur 24||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Bureau||Service en chambre||Baignoire/douche||Chambres non-fumeurs||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Petit-déjeuner inclus||Court de tennis||Ping-pong||Activités pour les enfants (Enfants/Pour les familles)||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Parking||Wi-Fi||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Navette aéroport||Service d'autobus||Location de voitures||Stockage des bagages||Concierge||Change des devises||Hôtel non-fumeurs||Distributeur de billets sur site||Réception 24 heures sur 24||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Bureau||Service en chambre||Baignoire/douche||Chambres non-fumeurs
Lale Saray Hotel,https://www.tripadvisor.fr/Hotel_Review-g297988-d1216160-Reviews-Lale_Saray_Hotel-Uchisar_Cappadocia.html,"Tekelli Mah. No:44, Uchisar 50240 Turquie",35,16 sur 52,Uchisar  ,Turquie  ,Europe||Turquie||Cappadoce||Uchisar,5.0,,,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Jacuzzi||Petit-déjeuner inclus||Randonnée||Ping-pong||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Navette aéroport||Parking sécurisé||Wi-Fi||Piscine extérieure||Piscine chauffée||Restaurant||Petit-déjeuner dans la chambre||Location de voitures||Stockage des bagages||Concierge||Change des devises||Journal||Hôtel non-fumeurs||Solarium||Réception 24 heures sur 24||Arrivée/départ express||Service de repassage||Chambres insonorisées||Climatisation||Cheminée||Service de ménage||Balcon privé||Coffre-fort||Équipements de chambre VIP||Télévision à écran plat||Suite nuptiale||Chambres non-fumeurs||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Jacuzzi||Petit-déjeuner inclus||Randonnée||Ping-pong||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Navette aéroport||Parking sécurisé||Wi-Fi||Piscine extérieure||Piscine chauffée||Restaurant||Petit-déjeuner dans la chambre||Location de voitures||Stockage des bagages||Concierge||Change des devises||Journal||Hôtel non-fumeurs||Solarium||Réception 24 heures sur 24||Arrivée/départ express||Service de repassage||Chambres insonorisées||Climatisation||Cheminée||Service de ménage||Balcon privé||Coffre-fort||Équipements de chambre VIP||Télévision à écran plat||Suite nuptiale||Chambres non-fumeurs||Chambres familiales
Palais Ronsard,https://www.tripadvisor.fr/Hotel_Review-g2626640-d16815904-Reviews-Palais_Ronsard-Marrakech_Safi.html,"Propriété SALAH 7 ABYAD Municipalité Ennakhil, 40000 Maroc",550,249 sur 827,Marrakech-Safi  ,Maroc  ,Afrique||Maroc||Marrakech-Safi,4.5,,,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Vélos disponibles||Terrain de golf||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Service de voiturier||Wi-Fi||Serviettes de plage/piscine||Piscine à débordement||Piscine avec vue||Piscine réservée aux adultes||Piscine extérieure||Piscine chauffée||Piscine privée||Cours de yoga||Vestiaires du spa/centre de remise en forme||Sauna||Bar/lounge||Café||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Thé offert||Boisson de bienvenue offerte||Salle à manger extérieure||Snack-bar||Menus spéciaux||Vin/champagne||Bar côté piscine||Équitation||Tir à l'arc hors site||Court de tennis hors site||Navette aéroport||Location de voitures||Service de taxi||Spa||Enveloppement corporel||Massage en couple||Soins du visage||Bain de pieds||Massage des pieds||Massage corporel complet||Hammam||Massage des mains||Massage de la tête||Manucure||Massage||Massage du cou||Pédicure||Bain de vapeur||Services d'épilation||Réservé aux adultes||Sécurité 24 heures sur 24||Installations de barbecue||Stockage des bagages||Concierge||Change des devises||Boutique de cadeaux||Mobilier d'extérieur||Solarium||Chaises longues/chaises de plage||Solarium||Parasols||Portier||Trousse de premiers soins||Infirmerie||Parasol||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Arrivée/départ privé||Service de blanchisserie||Lave-linge||Service de repassage||Cirage||Rideaux occultants||Peignoirs||Climatisation||Bureau||Cafetière/théière||TV par câble/satellite||Lits extra longs||Bidet||Salle-à-manger||Cheminée||Service de ménage||Chambres communicantes disponibles||Balcon privé||Service en chambre||Coffre-fort||Coin salon||Canapé||Téléphone||Équipements de chambre VIP||Penderie/armoire||Eau en bouteille||Penderie||Coffre pour ordinateur portable||Salles de bain privatives||Sol en marbre/carrelage||Service de réveil/réveil-matin||Minibar||Bouilloire électrique||Télévision à écran plat||Films à la demande||Douche à l'italienne||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur la piscine||Suite nuptiale||Chambres non-fumeurs||Suites||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Vélos disponibles||Terrain de golf||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Service de voiturier||Wi-Fi||Serviettes de plage/piscine||Piscine à débordement||Piscine avec vue||Piscine réservée aux adultes||Piscine extérieure||Piscine chauffée||Piscine privée||Cours de yoga||Vestiaires du spa/centre de remise en forme||Sauna||Bar/lounge||Café||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Thé offert||Boisson de bienvenue offerte||Salle à manger extérieure||Snack-bar||Menus spéciaux||Vin/champagne||Bar côté piscine||Équitation||Tir à l'arc hors site||Court de tennis hors site||Navette aéroport||Location de voitures||Service de taxi||Spa||Enveloppement corporel||Massage en couple||Soins du visage||Bain de pieds||Massage des pieds||Massage corporel complet||Hammam||Massage des mains||Massage de la tête||Manucure||Massage||Massage du cou||Pédicure||Bain de vapeur||Services d'épilation||Réservé aux adultes||Sécurité 24 heures sur 24||Installations de barbecue||Stockage des bagages||Concierge||Change des devises||Boutique de cadeaux||Mobilier d'extérieur||Solarium||Chaises longues/chaises de plage||Solarium||Parasols||Portier||Trousse de premiers soins||Infirmerie||Parasol||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Arrivée/départ privé||Service de blanchisserie||Lave-linge||Service de repassage||Cirage||Rideaux occultants||Peignoirs||Climatisation||Bureau||Cafetière/théière||TV par câble/satellite||Lits extra longs||Bidet||Salle-à-manger||Cheminée||Service de ménage||Chambres communicantes disponibles||Balcon privé||Service en chambre||Coffre-fort||Coin salon||Canapé||Téléphone||Équipements de chambre VIP||Penderie/armoire||Eau en bouteille||Penderie||Coffre pour ordinateur portable||Salles de bain privatives||Sol en marbre/carrelage||Service de réveil/réveil-matin||Minibar||Bouilloire électrique||Télévision à écran plat||Films à la demande||Douche à l'italienne||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur la piscine||Suite nuptiale||Chambres non-fumeurs||Suites
La Maison du Parc,https://www.tripadvisor.fr/Hotel_Review-g187189-d1774813-Reviews-La_Maison_du_Parc-Honfleur_Calvados_Basse_Normandie_Normandy.html,"76 rue Saint Leonard Chambres D' Hotes, 14600, Honfleur France",180,1 sur 77 B&B/auberges à,Honfleur  ,France  ,Europe||France||Normandie||Basse-Normandie||Calvados||Honfleur,5.0,,,Parking dans la rue||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Petit-déjeuner disponible||Randonnée||Hôtel non-fumeurs||Mobilier d'extérieur||Menus spéciaux||Peignoirs||Télévision à écran plat||Lits extra longs||Chambres non-fumeurs||Suites||Chambres familiales||Parking dans la rue||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Petit-déjeuner inclus||Petit-déjeuner disponible||Randonnée||Hôtel non-fumeurs||Mobilier d'extérieur||Menus spéciaux||Peignoirs||Télévision à écran plat||Lits extra longs||Chambres non-fumeurs||Suites||Chambres familiales
The Los Angeles Athletic Club Hotel,https://www.tripadvisor.fr/Hotel_Review-g32655-d119421-Reviews-The_Los_Angeles_Athletic_Club_Hotel-Los_Angeles_California.html,"431 W 7th St Parking garage is at 646 S. Olive St., Los Angeles, CA 90014-1601",157,34 sur 395,Los Angeles  ,Californie  ,États-Unis||Californie||Los Angeles,4.0,3.0,Hôtel historique||Vue sur la ville,Parking privé payant à proximité||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Racquetball||Squash||Activités pour les enfants (Enfants/Pour les familles)||Garage||Wi-Fi||Jacuzzi||Piscine intérieure||Piscine chauffée||Petit-bain||Cours de yoga||Salle de yoga||Vestiaires du spa/centre de remise en forme||Cours de remise en forme||Entraîneur personnel||Sauna||Bar/lounge||Café||Restaurant||Petit-déjeuner disponible||Café soluble offert||Thé offert||Happy Hour||Snack-bar||Menus spéciaux||Vin/champagne||Bar côté piscine||Aérobic||Billard||Ping-pong||Piscine pour enfants||Location de voitures||Service de taxi||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage des mains||Massage de la tête||Manucure||Massage||Massage du cou||Pédicure||Salon||Bain de vapeur||Terrasse sur le toit||Stockage des bagages||Concierge||Hôtel non-fumeurs||Solarium||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Cirage||Rideaux occultants||Peignoirs||Climatisation||Bureau||Service de ménage||Cafetière/théière||TV par câble/satellite||Baignoire/douche||Chambres communicantes disponibles||Balcon privé||Service en chambre||Coffre-fort||Téléphone||Penderie/armoire||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Service de réveil/réveil-matin||Réfrigérateur||Télévision à écran plat||Radio||Sèche-cheveux||Vue sur la ville||Chambres non-fumeurs||Suites||Chambres familiales||Parking privé payant à proximité||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Racquetball||Squash||Activités pour les enfants (Enfants/Pour les familles)||Garage||Wi-Fi||Jacuzzi||Piscine intérieure||Piscine chauffée||Petit-bain||Cours de yoga||Salle de yoga||Vestiaires du spa/centre de remise en forme||Cours de remise en forme||Entraîneur personnel||Sauna||Bar/lounge||Café||Restaurant||Petit-déjeuner disponible||Café soluble offert||Thé offert||Happy Hour||Snack-bar||Menus spéciaux||Vin/champagne||Bar côté piscine||Aérobic||Billard||Ping-pong||Piscine pour enfants||Location de voitures||Service de taxi||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage des mains||Massage de la tête||Manucure||Massage||Massage du cou||Pédicure||Salon||Bain de vapeur||Terrasse sur le toit||Stockage des bagages||Concierge||Hôtel non-fumeurs||Solarium||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Cirage||Rideaux occultants||Peignoirs||Climatisation||Bureau||Service de ménage||Cafetière/théière||TV par câble/satellite||Baignoire/douche||Chambres communicantes disponibles||Balcon privé||Service en chambre||Coffre-fort||Téléphone||Penderie/armoire||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Service de réveil/réveil-matin||Réfrigérateur||Télévision à écran plat||Radio||Sèche-cheveux||Vue sur la ville||Chambres non-fumeurs||Suites||Chambres familiales
Bellagio Las Vegas,https://www.tripadvisor.fr/Hotel_Review-g45963-d91703-Reviews-Bellagio_Las_Vegas-Las_Vegas_Nevada.html,"3600 Las Vegas Blvd S, Las Vegas, NV 89109-4303",172,75 sur 282,Las Vegas  ,Nevada (NV)  ,États-Unis||Nevada(NV)||Las Vegas,4.0,5.0,Au centre-ville||Vue sur la ville,Parking gratuit||Wi-Fi||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Casino et jeux d'argent||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Location de voitures||Station de recharge pour véhicules électriques||Garage||Wi-Fi payant||Serviettes de plage/piscine||Piscine réservée aux adultes||Piscine extérieure||Piscine chauffée||Petit-bain||Café||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Salle à manger extérieure||Snack-bar||Distributeur automatique||Service de taxi||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Photocopieur/fax dans le centre d'affaires||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage des mains||Massage de la tête||Services de maquillage||Manucure||Massage||Massage du cou||Pédicure||Salon||Sécurité 24 heures sur 24||Stockage des bagages||Chapelle/lieu de culte||Concierge||Supérette||Change des devises||Boutique de cadeaux||Boutiques||Chaises longues/chaises de plage||Distributeur de billets sur site||Service de majordome||Portier||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Service de repassage||Rideaux occultants||Climatisation||Service de ménage||Service en chambre||Coffre-fort||Minibar||TV par câble/satellite||Douche à l'italienne||Téléphone||Penderie/armoire||Penderie||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Sol en marbre/carrelage||Service de réveil/réveil-matin||Télévision à écran plat||Films à la demande||Radio||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur la ville||Vue sur la piscine||Chambres non-fumeurs||Suites||Parking gratuit||Wi-Fi||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Casino et jeux d'argent||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Location de voitures||Station de recharge pour véhicules électriques||Garage||Wi-Fi payant||Serviettes de plage/piscine||Piscine réservée aux adultes||Piscine extérieure||Piscine chauffée||Petit-bain||Café||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Salle à manger extérieure||Snack-bar||Distributeur automatique||Service de taxi||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Photocopieur/fax dans le centre d'affaires||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage des mains||Massage de la tête||Services de maquillage||Manucure||Massage||Massage du cou||Pédicure||Salon||Sécurité 24 heures sur 24||Stockage des bagages||Chapelle/lieu de culte||Concierge||Supérette||Change des devises||Boutique de cadeaux||Boutiques||Chaises longues/chaises de plage||Distributeur de billets sur site||Service de majordome||Portier||Arrivée 24 heures sur 24||Réception 24 heures sur 24||Arrivée/départ express||Nettoyage à sec||Service de blanchisserie||Service de repassage||Rideaux occultants||Climatisation||Service de ménage||Service en chambre||Coffre-fort||Minibar||TV par câble/satellite||Douche à l'italienne||Téléphone||Penderie/armoire||Penderie||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Sol en marbre/carrelage||Service de réveil/réveil-matin||Télévision à écran plat||Films à la demande||Radio||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur la ville||Vue sur la piscine||Chambres non-fumeurs||Suites
CitizenM London Bankside,https://www.tripadvisor.fr/Hotel_Review-g186338-d3199601-Reviews-CitizenM_London_Bankside-London_England.html,"20 Lavington Street, Londres SE1 0NZ Angleterre",68,187 sur 1 155,Londres  ,Royaume-Uni (UK)  ,Europe||Royaume-Uni(UK)||Angleterre||Londres,4.5,4.0,Branché||Hôtels originaux,Parking dans la rue||Internet haut débit gratuit (Wi-Fi)||Bar/lounge||Séjour gratuit pour les enfants||Centre d'affaires avec accès Internet||Salles de conférence||Sécurité 24 heures sur 24||Stockage des bagages||Wi-Fi||Café||Petit-déjeuner disponible||Buffet de petit-déjeuner||Snack-bar||Salles de réunion||Photocopieur/fax dans le centre d'affaires||Journal||Hôtel non-fumeurs||Salon commun/espace TV||Réception 24 heures sur 24||Arrivée/départ express||Arrivée/départ privé||Nettoyage à sec||Service de blanchisserie||Service de repassage||Chambre hypoallergénique||Rideaux occultants||Climatisation||Bureau||Réfrigérateur||TV par câble/satellite||Lits extra longs||Baignoire/douche||Chambres insonorisées||Purificateur d'air||Service de ménage||Coffre-fort||Téléphone||Eau en bouteille||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Télévision à écran plat||Radio||Station d'accueil pour iPod||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs||Parking dans la rue||Internet haut débit gratuit (Wi-Fi)||Bar/lounge||Séjour gratuit pour les enfants||Centre d'affaires avec accès Internet||Salles de conférence||Sécurité 24 heures sur 24||Stockage des bagages||Wi-Fi||Café||Petit-déjeuner disponible||Buffet de petit-déjeuner||Snack-bar||Salles de réunion||Photocopieur/fax dans le centre d'affaires||Journal||Hôtel non-fumeurs||Salon commun/espace TV||Réception 24 heures sur 24||Arrivée/départ express||Arrivée/départ privé||Nettoyage à sec||Service de blanchisserie||Service de repassage||Chambre hypoallergénique||Rideaux occultants||Climatisation||Bureau||Réfrigérateur||TV par câble/satellite||Lits extra longs||Baignoire/douche||Chambres insonorisées||Purificateur d'air||Service de ménage||Coffre-fort||Téléphone||Eau en bouteille||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Télévision à écran plat||Radio||Station d'accueil pour iPod||Produits de toilette gratuits||Sèche-cheveux||Chambres non-fumeurs
Hôtel Vaubecour,https://www.tripadvisor.fr/Hotel_Review-g187265-d1058931-Reviews-Hotel_Vaubecour-Lyon_Rhone_Auvergne_Rhone_Alpes.html,"28 rue Vaubecour, 69002 Lyon France",100,1 sur 151,Lyon  ,France  ,Europe||France||Auvergne-Rhône-Alpes||Rhone||Lyon,4.5,2.0,Quartier résidentiel||Hôtel historique,Parking public payant à proximité||Internet haut débit gratuit (Wi-Fi)||Petit-déjeuner disponible||Chaises hautes disponibles||Service de taxi||Stockage des bagages||Hôtel non-fumeurs||Arrivée/départ express||Parking dans la rue||Wi-Fi||Café soluble offert||Thé offert||Menus spéciaux||Salon commun/espace TV||Trousse de premiers soins||Chambre hypoallergénique||Rideaux occultants||Bureau||Cheminée||Service de ménage||Bouilloire électrique||TV par câble/satellite||Douche à l'italienne||Chambres insonorisées||Penderie/armoire||Penderie||Salles de bain privatives||Sol en marbre/carrelage||Télévision à écran plat||Produits de toilette gratuits||Sèche-cheveux||Vue sur la ville||Chambres non-fumeurs||Chambres familiales||Parking public payant à proximité||Internet haut débit gratuit (Wi-Fi)||Petit-déjeuner disponible||Chaises hautes disponibles||Service de taxi||Stockage des bagages||Hôtel non-fumeurs||Arrivée/départ express||Parking dans la rue||Wi-Fi||Café soluble offert||Thé offert||Menus spéciaux||Salon commun/espace TV||Trousse de premiers soins||Chambre hypoallergénique||Rideaux occultants||Bureau||Cheminée||Service de ménage||Bouilloire électrique||TV par câble/satellite||Douche à l'italienne||Chambres insonorisées||Penderie/armoire||Penderie||Salles de bain privatives||Sol en marbre/carrelage||Télévision à écran plat||Produits de toilette gratuits||Sèche-cheveux||Vue sur la ville||Chambres non-fumeurs||Chambres familiales
